[DM_REFINEMENT]
eventname,dm_stored,dm_refined,dm_refined_offset,dm_error,best_snr
FRB20181222E,327.97970975399255,327.6905650695379,-0.289144684454646,0.04105867012491729,339.7399861387497
FRB20181223A,349.70958034789453,349.16081512403355,-0.5487652238609706,0.06666175993453516,610.1482057387258
FRB20181223B,565.6550182351,564.7914562578219,-0.8635619772780433,0.0443132628374116,204.1960775114454
FRB20181223C,112.5118108137,112.50757432823623,-0.004236485463759184,0.014803759536965059,398.8178009432503
FRB20181224A,310.2064355431,310.2144641671057,0.008028624005697692,0.005975070329239547,1379.3107393980026
FRB20181224B,781.0087448526101,780.7041846895518,-0.30456016305833833,0.040777366840116167,296.56301467494654
FRB20181224C,596.3247508650469,596.0273009482327,-0.29744991681428534,0.05411961262718289,342.3007858854352
FRB20181224D,690.1957423628,690.4242661876588,0.22852382485869352,0.06498379831235677,175.9244307502974
FRB20181224E,581.8537317793388,581.833944725427,-0.019787053911763577,0.018424192178610653,473.69653191456507
FRB20181225A,349.6194213989,348.9045733744942,-0.7148480244057935,0.09547239230199915,258.11987030506134
FRB20181225B,299.2874754966,299.2750705130755,-0.012404983524508735,0.02441824454891688,373.63492798805237
FRB20181226A,349.0106635004,349.39097368742034,0.38031018702030006,0.032197540209722604,492.4956576255954
FRB20181226B,287.03641052727414,286.85418629323385,-0.18222423404026547,0.022165101463133885,2167.5784351066904
FRB20181226C,409.01838112036796,408.93606175900584,-0.08231936136213186,0.037598329534388804,295.6448600864727
FRB20181226D,385.3778197895,385.362812137747,-0.015007651752967272,0.013121330838348213,444.73367178440094
FRB20181226E,308.76191460368796,308.8720336095623,0.1101190058743535,0.03345658131613088,143.1420403978953
FRB20181227A,791.213371217667,791.1938840009631,-0.019487216703999985,0.023432422309802744,151.48313957452774
FRB20181228A,748.6790651937694,748.4664344786758,-0.21263071509363013,0.032484818844079194,250.84528946703796
FRB20181228B,568.6505699684033,569.4728855585346,0.8223155901313127,0.11279485665133247,250.06846072617793
FRB20181228C,510.70028360294845,510.81333148236814,0.11304787941969228,0.023036677049830413,179.68174834225528
FRB20181229A,955.5735068698523,955.4987422005449,-0.07476466930739396,0.03292173577489651,399.8640762269497
FRB20181229B,389.0470849568,389.24871787301765,0.20163291621764756,0.04495082810210814,200.627095935062
FRB20181230A,769.611167936739,768.4786540210034,-1.132513915735582,0.11357107126242418,290.1328711940231
FRB20181230B,1137.3598613026,1137.7014213972004,0.3415600946004952,0.09349970103403318,239.11979228653595
FRB20181230C,1037.1939726205912,1037.2032215214147,0.009248900823512637,0.02123993224340725,210.50458316719744
FRB20181230D,223.9665346515,223.9739461299127,0.007411478412675952,0.011999953448227062,288.78385412693024
FRB20181230E,1041.7132864674738,1041.8643111932874,0.15102472581357881,0.047661535286342774,258.39664990332926
FRB20181231A,1376.73240834563,1376.7359029070192,0.0034945613893953785,0.013274627915455469,493.33900960102426
FRB20181231B,197.16974722427003,197.025798454632,-0.14394876963803532,0.03239951182278426,543.4039971307874
FRB20181231C,556.0860040785,556.0466304871101,-0.03937359138991563,0.01994284878469282,303.57106113590385
FRB20190101A,854.6094984344,853.3292880737989,-1.280210360601157,0.06400458823694517,415.1334083781533
FRB20190101B,1323.9056408459148,1323.9197827057938,0.014141859879019001,0.030608592972307086,178.7972293168815
FRB20190102A,699.172721124,699.250394751758,0.07767362775800836,0.030781250219708272,434.35007801651955
FRB20190102B,367.1641940551319,367.16861544142324,0.004421386291369117,0.01840805082680838,413.32559522636336
FRB20190103A,364.5626841404965,364.2382858036383,-0.3243983368582139,0.037728755985129876,346.1887059815404
FRB20190103B,541.1287914551,541.7703912270227,0.6415997719227343,0.09834425358796012,328.37316880408696
FRB20190103C,1349.1326967846655,1349.0519706680752,-0.08072611659026459,0.037054897061423085,450.69735127580265
FRB20190103D,1913.5509153768,1913.3803517988044,-0.17056357799552402,0.03299538305535599,205.82335059740097
FRB20190103E,736.2452642817,736.2800371716044,0.03477288990438357,0.03027979546684086,197.29841219868746
FRB20190104A,549.4329188331915,549.4421774447939,0.00925861160237646,0.01632342015497597,315.38261301424006
FRB20190104B,530.1366988190575,530.0517429268266,-0.08495589223096009,0.039559309026572204,150.51585398698057
FRB20190105A,383.5505526900963,383.2358696585238,-0.3146830315724979,0.05367392956913756,200.1697202506067
FRB20190106A,340.06145197997336,339.77284852161864,-0.2886034583547226,0.0528201491938971,122.61628025345196
FRB20190106B,316.5941307623358,316.60578564810015,0.011654885764335304,0.01575121739005165,665.3293378752933
